product_id,product_name,company_id,business_area,price
1,Cloud Security Solutions,19,Information Technology,2476
2,IT Staffing Solutions,27,Food supply,2630
3,Language Translation Services Tax Preparation Services,22,Information Technology,4612
4,Language Learning Software,3,Finance,2191
5,Mobile Device Management,21,Real Estate,3111
6,Data Science Consulting,3,Food supply,4806
7,Sales Performance Coaching,11,Education,4932
8,Artisanal Bakery,12,Education,224
9,Cybersecurity Training Programs,17,Finance,811
10,Wealth Management Services,30,Real Estate,3449
11,Cloud Security Solutions,23,Education,69
12,Farmers Market Produce,18,Real Estate,500
13,Search Engine Optimization Services,5,Food supply,4106
14,Social Media Monitoring Tools,5,Sales,2643
15,Digital Marketing Services,15,Finance,1437
16,Content Marketing Services,17,Marketing,1431
17,Language Translation Services Tax Preparation Services,2,Finance,4738
18,Language Learning Apps,14,Food supply,3178
19,Gourmet Coffee Roastery,9,Real Estate,4930
20,Artisanal Bakery,9,Education,577
21,Social Media Influencer Services,28,Sales,1019
22,Web Hosting Services,29,Sales,2505
23,Farm-to-Table Restaurant,22,Education,1986
24,Salesforce Automation Tools,15,Food supply,1906
25,Luxury Condos,21,Real Estate,2387
26,Email Automation Tools,25,Food supply,4903
27,Language Learning Apps,21,Education,743
28,Language Learning Software,5,Real Estate,1099
29,Web Hosting Services,22,Education,1349
30,Artisanal Bakery,12,Real Estate,972
31,Private Equity Investments,21,Information Technology,1521
32,Leadership Training Programs,13,Marketing,2379
33,Email Automation Tools,28,Information Technology,1989
34,Language Translation Services Tax Preparation Services,8,Education,1494
35,Cybersecurity Consulting,28,Information Technology,2908
36,Email Automation Tools,3,Real Estate,2815
37,IT Consulting Services,4,Education,754
38,Luxury Home Decor,30,Finance,974
39,Language Interpretation Services,7,Finance,3085
40,Artisanal Cheese Shop,18,Education,2271
41,Salesforce Automation Tools,20,Information Technology,1092
42,Online Photography Courses,12,Real Estate,662
43,Investment Banking Services,15,Information Technology,4719
44,Luxury Car Rentals,14,Education,1640
45,Private Banking Services,1,Education,4434
46,Personal Finance Coaching,9,Information Technology,3439
47,Beachfront Properties,15,Sales,1401
48,Email Automation Tools,11,Finance,2304
49,Financial Analysis Services,16,Real Estate,329
50,Web Development Services,4,Education,1455
51,Cloud Storage Solutions,7,Finance,887
52,Cybersecurity Software,4,Finance,3419
53,Commercial Property Management,12,Education,785
